station_id,kge_M0,nse_M0,kge_r_M0,kge_alpha_M0,kge_beta_M0,n_days_M0,kge_M1,nse_M1,kge_r_M1,kge_alpha_M1,kge_beta_M1,n_days_M1,kge_era5_land,nse_era5_land,kge_r_era5_land,kge_alpha_era5_land,kge_beta_era5_land,n_days_era5_land
GRDCCaravan__1160950,-0.3661644545535194,-0.00905057772931861,0.7656383608276217,0.043468318151174606,0.05314886038543054,1215,0.4482247222074073,0.658524888116806,0.823539654044942,0.8049225037298846,1.4850386313867145,1215,-0.3405357112821972,-0.4174116280494844,0.028452116337932563,0.6279908920133711,0.15457707237760765,1215
GRDCCaravan__1160965,-0.3786191417896623,-0.10093329678754959,0.7575372435172237,0.022628072513085865,0.058433929462115224,1627,0.7103998824137301,0.7331927173766846,0.8646987660157168,0.7443728065192842,0.9852846290741849,1627,-0.44465064049204805,-0.07122243804019446,0.27122985364880603,0.20521926508684382,0.038629556168774296,1627
GRDCCaravan__1160971,0.2953897565499213,-0.2914268275807763,0.5378920997140282,1.2681142277661681,0.540601867072339,1165,0.6489465161424424,0.2904269142676007,0.7116214222443732,1.1739728523372077,1.0990443893909516,1165,-0.06919242804339243,-1.3244504521934224,0.15341916189529542,1.2801941410961066,0.41011477723655787,1165
GRDCCaravan__1160975,-1.395648391432604,-6.24416715665781,0.7153355997288151,3.280913711866547,1.6749296508607705,919,-1.858471187092276,-7.045409204851868,0.7056849251781155,3.2255061955274877,2.769564448625164,919,-5.890498262265592,-57.08124993315098,0.21318088300744156,7.732693936639747,2.2372204067806907,919
GRDCCaravan__1160979,-5.86937521797829,-8.141700598770512,0.8587482408321035,3.487759101148447,7.401516889031797,287,-9.535963891591926,-14.040906496213763,0.7928815702970338,3.9154122313571706,11.122450721157366,287,-8.131846309104802,-64.3818348745173,0.17483485654929232,8.103521439640234,6.678882166035539,287
GRDCCaravan__1196142,-27.663382753168797,-13.738007802912007,0.5466107499890565,3.592958769081366,29.54225838759913,1641,-32.220686795977656,-13.756859907039624,0.4130085070169235,3.153970075137343,34.14558620840824,1641,-17.25484292084263,-241.7497313831348,0.018575969438572947,15.544203144529673,11.988277928207314,1641
GRDCCaravan__1196160,0.21632777540154802,0.4287749415123956,0.7123240747671403,0.45434435903469317,0.5166319837522917,1622,0.6303636291147814,0.532565547147068,0.730030663350653,0.7486980306620928,1.0243910671598435,1622,-0.019476066611388454,-1.6332582574707875,0.12970384118674494,1.4119998897280899,0.6650789089765123,1622
GRDCCaravan__1196190,0.020824634668498376,0.40014027775218963,0.7299306857772248,0.4217485903500106,0.2573882112266734,1632,0.4139708817698379,0.5277182159284677,0.7826949091931854,0.49636476616364145,0.7936988217152897,1632,-0.26257560043613326,-0.11328352695888477,0.14355546093062457,0.45267650301932005,0.25097604312829414,1632
GRDCCaravan__1196215,-0.5029401542070904,0.19692321404776703,0.6182410585415437,0.8267672297098703,2.443287783168055,1639,0.43633144734845775,0.10180580319999633,0.5947281349583052,1.0866202774620306,1.3820652826236788,1639,-10.487342080275845,-144.0504415900333,0.17089008119189342,12.154788564493442,3.615778448809558,1639
GRDCCaravan__1196310,0.15971078124290705,0.3422917761650265,0.7002093599895279,0.36019117444055276,0.545185521275149,1587,0.6373135995057619,0.5544416484864274,0.761275440897892,0.8856635370933974,1.2479499611513947,1587,-0.07577681688473303,-1.128676580412694,0.17136841673249403,1.2161969920600588,0.34890529138809806,1587
GRDCCaravan__1196340,0.4571020775226353,0.29641392637578023,0.5788726471574434,0.7302939512637571,1.2113020449336513,874,0.6317914884120438,0.4048143923651878,0.6808158349610369,0.9044811009803284,1.156764526358063,874,-1.355251017101902,-9.384939343797445,0.057574504645949355,3.109555339007501,0.5430341249817849,874
GRDCCaravan__1196445,0.3486286257911978,0.4757589147654915,0.7786453435479234,0.5723883306663065,0.5613258117289115,1267,0.4800611934760328,0.5269255033752536,0.7968360499480891,0.8904909228922507,0.5340938571344213,1267,-0.23882024431834648,-1.8770008710565467,0.14887604823944917,1.4170255023611436,0.2022824141007629,1267
GRDCCaravan__1196700,0.27645925222074763,0.7114557275332984,0.9312429182560952,0.9677156972039122,0.2804575056329251,1630,0.7842283606119406,0.8353318627782998,0.9220927836811199,0.8010384778993914,0.9699637097320088,1630,-0.050765304358423524,-1.754129144262368,0.16298735123075536,1.4776708571805233,0.581254130952713,1630
GRDCCaravan__1196720,-1.0553296128209766,-7.615412525842867,0.279009455794567,2.72206288425342,0.14031873628537744,715,-3.542398426338676,-35.07196811533067,0.3061217621919508,4.606774524858163,-1.6726567272163197,715,-2.425160873374289,-16.810076836341082,0.27540047268293494,4.306863236004531,0.47909878876350437,715
GRDCCaravan__1197501,0.561321603106554,0.2101532896057704,0.6811169220109504,1.1113965649177941,0.7201015830738783,1640,0.3207853094592992,-0.20727321384559816,0.7148739101815064,1.4826437632667546,1.3835240625186656,1640,-5.803717722183974,-57.21718825108583,0.1764228875630491,7.70344150624593,1.8222940808309318,1640
GRDCCaravan__1197502,-0.23159079795816218,-2.7492892723347455,0.08239178099713626,1.3553670314308224,0.25937504565018893,1644,-0.3784399548858892,-3.800852401947652,0.013769931061263908,1.9422916204844616,0.8011697650967642,1644,-2.8552555611537107,-22.27443624266861,0.013378212435023035,4.717263444874166,0.7325577230299002,1644
GRDCCaravan__1197505,0.43372521973884326,0.05179543780800122,0.6657861903213634,1.2537571558530136,1.3802309325045805,1642,-0.7973054957471988,-1.342948909640552,0.6990015951261287,1.694069381264391,2.630329629031422,1642,-7.48919667552072,-81.65334368271981,0.1510076886071617,9.082444815587731,3.4535195238364986,1642
GRDCCaravan__1197540,0.21411529099968452,0.02700041479376758,0.760766168454032,0.98093060149764,0.2516562903818164,1630,0.7823225212104542,0.619888338806554,0.8451927962457609,1.1521453401975992,1.0164319777909874,1630,-2.036202999364879,-13.889186191185464,0.19184343095063888,3.916275710913306,1.2464702643154804,1630
GRDCCaravan__1197550,0.1108751303526615,-0.40908935382426037,0.764639942397627,1.6284247758976595,0.4167067820137279,1617,-0.07592864299367008,-0.8620463859894132,0.7788633697257106,1.8938752308262305,1.5565142471495994,1617,-2.6750807941356496,-19.224522818774602,0.18727419905882595,4.563816501049795,1.380667259892998,1617
GRDCCaravan__1197560,0.03940043308039265,-0.5464284047893431,0.5795508519958777,0.5586364308709499,0.25759024672731357,1635,0.4961249057747956,0.31646304686393134,0.61109286016486,0.725695968835205,0.8344746374344625,1635,-1.6306062597484838,-10.945717663246366,0.2062090366145171,3.4454903491701137,0.4436169014147795,1635
GRDCCaravan__1197700,0.3131899719244827,0.7265763605003772,0.917794567153129,0.9574607085919802,0.3194555928067185,1644,0.7421797766931941,0.8066923919847243,0.9066576011089547,0.8037451738739954,0.8612826350542662,1644,-0.5640850013070722,-4.345598721350888,0.2696518679631649,2.36942088672384,1.1940101346542034,1644
GRDCCaravan__1197701,0.21138258162305024,0.3007080092960823,0.8779302524868414,0.9607339283476308,0.22187752575408173,1640,0.7008059103900626,0.8087580197134155,0.9282171535199745,0.841328051280624,0.7567151075419188,1640,-0.4413265009634828,-3.8307965766773417,0.2533619614579858,2.221540694692472,0.8332905131913507,1640
GRDCCaravan__1197710,0.44894034651434034,0.34631044206079487,0.5922897511467435,0.6542613479929315,0.8661946219762218,1635,-0.3253685738142271,0.1669697165477897,0.6460365413069785,1.0829039904853965,2.2745346816489653,1635,-2.7176224978539185,-13.670403274495431,0.2821310617413187,3.967939477242522,3.120546270058343,1635
GRDCCaravan__1197730,0.20707429612918615,0.5304804768389271,0.9269965058510714,0.7407217037509874,0.25422763071076293,1639,0.6918439875912672,0.8073010605549589,0.9214752296475568,0.7719121465709641,0.8082451577068214,1639,0.02758358656624693,-0.827757838131618,0.26587749616682516,1.0954553331158219,0.36948742291622655,1639
GRDCCaravan__1197745,-0.2558180129945702,-1.4813976777044333,0.776401148036295,2.2133544739473954,0.7657920673547053,531,0.214774094101157,-0.12157068385341674,0.8501290582495387,1.7682220204239445,1.0628756824952308,531,-1.2721345080444717,-8.1990167190067,0.22999457692468103,3.0902660201927468,1.447744163455725,531
GRDCCaravan__1197750,-0.17751811799047434,-1.4574473795952985,0.7304580164160809,2.140256614785809,0.8829064915604526,965,0.20585838850510052,-0.16268041274914036,0.8222217032405366,1.7285146732467749,1.2613850553745656,965,-1.3418846406404787,-8.633632857870698,0.2249617427890838,3.1630071255229164,1.4529233322145605,965
GRDCCaravan__1199200,0.15432994285392843,0.040091121193869816,0.5694449580206913,0.8664292490977378,0.28450083446376995,1467,0.5769328260516153,0.5460453141984326,0.7775285642691053,0.8929463930613881,0.656442407742253,1467,-0.8519396483692281,-6.113896310839727,0.17814309737437997,2.6563532001173433,0.8964347101119374,1467
