alpha,beta,tau,sharpness,val_corrected_kge,val_corrected_nse,val_negative_kge_stations,val_negative_nse_stations
1.0,0.8,-0.2,0.1,0.7086665603334991,0.7263294426151033,0,0
1.0,0.8,-0.2,0.05,0.7085311128224423,0.7261350345146216,0,0
0.8,1.0,0.2,0.1,0.7085136715606211,0.7319496479121534,0,0
1.0,0.8,-0.4,0.1,0.7084842420350677,0.724909803941693,0,0
0.8,0.6,-0.2,0.35,0.7084696928776921,0.7311883907382651,0,0
1.0,0.6,0.2,0.05,0.7084595032197014,0.7370912389326676,0,0
1.0,0.6,0.2,0.1,0.708458666296537,0.7370445044948204,0,0
0.8,1.0,0.2,0.05,0.7083731305360955,0.7319795982400286,0,0
1.0,0.8,-0.4,0.05,0.7083679539430099,0.7249038464994062,0,0
1.0,0.6,0.2,0.2,0.7081870179679485,0.7370775930873743,0,0
0.8,1.0,0.0,0.2,0.7081869378059873,0.7305476148463392,0,0
0.8,1.0,-0.4,0.35,0.7080754775171965,0.727213966727233,0,0
1.2,0.4,0.2,0.35,0.7080574021606041,0.7342177502094445,0,1
0.4,0.6,0.4,0.35,0.7080151344685692,0.7308287004318887,0,0
1.0,0.6,0.2,0.35,0.7076500693358317,0.7367842889497545,0,0
1.2,0.6,-0.2,0.35,0.7075938301336764,0.7286197185226269,0,0
0.8,1.0,0.0,0.1,0.7075861284913978,0.7308301692208129,0,0
