station_id,source,lat,long,area,provenance,polygon_source,polygon_area_km2,area_ratio,west,south,east,north
GRDC__1286210,GRDC,-8.85,34.567,486.0,continent_pub_baseline,station_boundary,489.8440830676171,1.0079096359415989,34.4,-9.3,35.0,-8.700000000000001
GRDC__1495165,GRDC,-20.617,30.45,3710.0,continent_pub_baseline,station_boundary,4511.337046969111,1.2159938131992212,29.200000000000003,-20.8,30.6,-19.5
GRDC__1599180,GRDC,-26.743,30.803,1485.0,continent_pub_baseline,station_boundary,1505.5800999918952,1.0138586531931955,30.0,-27.0,31.0,-26.400000000000002
GRDC__1547300,GRDC,-10.183,30.967,6418.0,continent_pub_baseline,station_boundary,6334.097340373996,0.9869269773097532,30.1,-10.5,31.6,-9.3
GRDC__1634200,GRDC,10.033,-10.75,3180.0,continent_pub_baseline,station_boundary,3196.6521954774234,1.0052365394583092,-11.100000000000001,8.9,-10.3,10.200000000000001
GRDC__1813650,GRDC,12.57,-12.53,950.0,continent_pub_baseline,station_boundary,993.5227959857077,1.0458134694586396,-12.700000000000001,12.0,-12.100000000000001,12.700000000000001
GRDC__1491720,GRDC,-17.583,32.033,285.0,continent_pub_baseline,station_boundary,279.6209967217122,0.9811263042867094,31.8,-18.0,32.300000000000004,-17.400000000000002
GRDC__1234050,GRDC,14.62,0.3,7500.0,continent_pub_baseline,station_boundary,7582.7546827118895,1.0110339576949186,-0.9,13.700000000000001,0.6000000000000001,14.8
GRDC__1290920,GRDC,-8.983,33.067,146.0,continent_pub_baseline,station_boundary,161.67794879755488,1.1073832109421566,32.9,-9.3,33.300000000000004,-8.8
GRDC__1289460,GRDC,-7.037,37.567,40.0,continent_pub_baseline,station_boundary,49.42071417001611,1.2355178542504028,37.5,-7.300000000000001,37.800000000000004,-6.9
GRDC__1622500,GRDC,8.06,-9.07,4095.0,continent_pub_baseline,station_boundary,3978.2099224449007,0.9714798345408793,-9.5,7.800000000000001,-8.5,9.0
GRDC__1597002,GRDC,-26.033,31.104,6174.0,continent_pub_baseline,station_boundary,6080.859398468206,0.9849140587088121,29.700000000000003,-26.5,31.3,-25.5
GRDC__1104800,GRDC,36.45,7.72,552.0,continent_pub_baseline,station_boundary,551.5298408271241,0.9991482623679784,7.300000000000001,36.1,8.1,36.7
GRDC__1617800,GRDC,9.87,-12.52,2750.0,continent_pub_baseline,station_boundary,2728.2407930370296,0.9920875611043743,-13.0,9.700000000000001,-12.0,10.600000000000001
GRDC__1737280,GRDC,7.2,20.017,5720.0,continent_pub_baseline,station_boundary,5739.813367645601,1.0034638754625176,19.8,6.5,21.1,7.6000000000000005
GRDC__1993400,GRDC,-12.117,33.417,977.0,continent_pub_baseline,station_boundary,960.3112563059099,0.9829183790234493,33.2,-12.5,33.9,-11.9
GRDC__1293100,GRDC,-9.167,33.533,222.0,continent_pub_baseline,station_boundary,219.52369724581357,0.9888454830892502,33.300000000000004,-9.3,33.7,-8.8
GRDC__1591245,GRDC,-13.45,25.867,1125.0,continent_pub_baseline,station_boundary,1096.3097065265995,0.9744975169125328,25.6,-13.600000000000001,26.200000000000003,-12.9
GRDC__1599101,GRDC,-26.569,31.083,2977.0,continent_pub_baseline,station_boundary,2960.0828823233815,0.994317394129453,30.0,-26.8,31.3,-26.0
GRDC__1537170,GRDC,7.83,15.83,4360.0,continent_pub_baseline,station_boundary,4324.071174634124,0.991759443723423,14.700000000000001,6.4,16.1,8.0
GRDC__1813550,GRDC,12.62,-12.77,760.0,continent_pub_baseline,station_boundary,798.3246856286926,1.0504272179324903,-13.0,12.100000000000001,-12.4,12.8
GRDC__1547340,GRDC,-9.483,30.233,383.0,continent_pub_baseline,station_boundary,733.8276218800308,1.915999012741595,29.700000000000003,-9.600000000000001,30.400000000000002,-9.1
GRDC__1491870,GRDC,-17.25,30.95,378.0,continent_pub_baseline,station_boundary,386.49591419828374,1.0224759634875231,30.5,-17.5,31.1,-17.0
GRDC__1304100,GRDC,35.519,-5.235,110.0,continent_pub_baseline,station_boundary,109.44507919081164,0.9949552653710149,-5.5,35.2,-5.1000000000000005,35.7
GRDC__1547202,GRDC,-9.867,29.55,286.655,continent_pub_baseline,station_boundary,105.02567305622145,0.3663835378982451,29.400000000000002,-10.100000000000001,29.900000000000002,-9.700000000000001
GRDC__1993200,GRDC,-10.954,33.759,601.0,continent_pub_baseline,station_boundary,592.2939670311514,0.9855140882381886,33.5,-11.100000000000001,34.0,-10.4
GRDC__1591720,GRDC,-14.3,28.55,1448.0,continent_pub_baseline,station_boundary,1436.0700693236727,0.9917610975992215,28.0,-14.600000000000001,28.8,-13.8
GRDC__1494400,GRDC,-18.4,32.783,95.0,continent_pub_baseline,station_boundary,88.96881369063365,0.9365138283224596,32.6,-18.6,33.0,-18.1
GRDC__1495190,GRDC,-19.883,29.95,628.0,continent_pub_baseline,station_boundary,605.6952430426282,0.9644828710869876,29.6,-20.0,30.1,-19.3
GRDC__1286661,GRDC,-8.899,34.112,788.0,continent_pub_baseline,station_boundary,803.4485710721762,1.0196047856245891,33.7,-9.4,34.5,-8.700000000000001
GRDC__1992880,GRDC,-15.033,34.933,771.0,continent_pub_baseline,station_boundary,673.8450064362627,0.8739883351961902,34.4,-15.200000000000001,35.1,-14.600000000000001
GRDC__1597001,GRDC,-25.944,31.749,8090.0,continent_pub_baseline,station_boundary,8001.822529298987,0.9891004362545102,29.700000000000003,-26.5,31.900000000000002,-25.5
GRDC__1259152,GRDC,-29.59,28.713,7952.0,continent_pub_baseline,station_boundary,7841.914865573274,0.9861562959724942,28.1,-29.8,29.6,-28.5
GRDC__1813800,GRDC,12.63,-12.08,1010.0,continent_pub_baseline,station_boundary,1076.750116428932,1.0660892241870614,-12.3,12.3,-11.600000000000001,12.9
GRDC__1531300,GRDC,7.983,-0.883,6355.0,continent_pub_baseline,station_boundary,6428.801391198289,1.011613122139778,-2.1,7.0,-0.7000000000000001,8.3
GRDC__1591500,GRDC,-12.867,28.367,339.0,continent_pub_baseline,station_boundary,178.9181810556297,0.5277822450018576,28.200000000000003,-13.0,28.700000000000003,-12.600000000000001
GRDC__1491890,GRDC,-17.367,31.433,1028.0,continent_pub_baseline,station_boundary,996.287711269452,0.9691514701064707,30.900000000000002,-17.8,31.6,-17.2
GRDC__1599230,GRDC,-26.393,30.843,1454.0,continent_pub_baseline,station_boundary,1444.0426718386207,0.9931517688023526,30.0,-26.6,31.0,-26.0
GRDC__1993325,GRDC,-11.7,33.9,294.0,continent_pub_baseline,station_boundary,283.31839815065723,0.9636680209206028,33.6,-12.0,34.1,-11.4
GRDC__1495295,GRDC,-20.1,30.9,229.0,continent_pub_baseline,station_boundary,210.22901692760777,0.9180306416052741,30.700000000000003,-20.3,31.1,-19.700000000000003
GRDC__1491790,GRDC,-18.0,31.15,491.0,continent_pub_baseline,station_boundary,489.8468441877644,0.9976514138243675,31.0,-18.400000000000002,31.700000000000003,-17.8
GRDC__1491610,GRDC,-18.817,30.317,2662.0,continent_pub_baseline,station_boundary,2601.1424363980796,0.977138405859534,30.1,-19.200000000000003,31.3,-18.5
GRDC__1495802,GRDC,-18.883,32.433,2222.0,continent_pub_baseline,station_boundary,2230.386327673077,1.0037742248753723,32.1,-19.0,33.0,-18.2
GRDC__1290231,GRDC,-9.233,32.833,72.0,continent_pub_baseline,station_boundary,84.82388419470597,1.1781095027042496,32.6,-9.5,33.0,-9.0
GRDC__1491555,GRDC,-18.45,29.983,1984.0,continent_pub_baseline,station_boundary,1943.2129397455458,0.979442005920134,29.8,-18.8,30.900000000000002,-18.1
GRDC__1495310,GRDC,-20.1,31.083,411.0,continent_pub_baseline,station_boundary,369.78920123121173,0.8997304166209531,30.900000000000002,-20.3,31.400000000000002,-19.6
GRDC__1547200,GRDC,-8.9,29.967,707.0,continent_pub_baseline,station_boundary,469.8134381846857,0.6645168856926248,29.8,-9.4,30.200000000000003,-8.700000000000001
GRDC__1591235,GRDC,-13.433,24.333,5020.51,continent_pub_baseline,station_boundary,5002.215469135912,0.9963560413455828,23.6,-13.600000000000001,24.6,-11.9
GRDC__1547800,GRDC,-11.833,31.383,324.0,continent_pub_baseline,station_boundary,279.91042834850856,0.8639210751497178,31.200000000000003,-12.0,31.8,-11.4
GRDC__1286400,GRDC,-7.883,35.8,2843.0,continent_pub_baseline,station_boundary,2567.1408274824125,0.9029689861000396,34.9,-8.8,36.1,-7.6000000000000005
GRDC__1547201,GRDC,-10.717,29.083,1220.0,continent_pub_baseline,station_boundary,1378.2417273430585,1.1297063338877529,28.900000000000002,-11.100000000000001,29.6,-10.200000000000001
GRDC__1749400,GRDC,5.05,21.2,4450.0,continent_pub_baseline,station_boundary,4644.864021273586,1.0437896677019296,20.8,4.9,21.8,5.9
GRDC__1259200,GRDC,-30.4,27.697,208.0,continent_pub_baseline,station_boundary,206.67228020328827,0.9936167317465782,27.5,-30.700000000000003,28.1,-30.200000000000003
GRDC__1491510,GRDC,-19.067,30.35,1622.0,continent_pub_baseline,station_boundary,1561.2831040141439,0.9625666485907175,30.200000000000003,-19.5,31.200000000000003,-18.7
GRDC__1553200,GRDC,-8.95,31.183,444.0,continent_pub_baseline,station_boundary,453.6879852672439,1.0218197866379368,31.0,-9.3,31.6,-8.8
GRDC__1491780,GRDC,-17.926,31.15,170.0,continent_pub_baseline,station_boundary,161.68779272578266,0.9511046630928391,31.0,-18.1,31.5,-17.7
GRDC__1749200,GRDC,5.733,19.083,3380.0,continent_pub_baseline,station_boundary,2573.3374883699753,0.761342452180466,18.400000000000002,5.5,19.3,6.5
GRDC__1290100,GRDC,-8.266,35.165,1119.0,continent_pub_baseline,station_boundary,1118.3840769216165,0.9994495772311139,35.0,-8.4,35.7,-7.800000000000001
GRDC__1292180,GRDC,-8.917,33.967,162.0,continent_pub_baseline,station_boundary,166.8018459274331,1.0296410242434142,33.7,-9.200000000000001,34.1,-8.700000000000001
GRDC__1434820,GRDC,9.883,-6.367,4870.11,continent_pub_baseline,station_boundary,4758.42546617646,0.9770673488230164,-7.2,9.1,-6.1000000000000005,10.100000000000001
GRDC__1495800,GRDC,-18.917,32.417,2498.0,continent_pub_baseline,station_boundary,2502.5912222037064,1.0018379592488817,32.1,-19.1,33.0,-18.2
GRDC__1309520,GRDC,33.119,-6.277,1627.0,continent_pub_baseline,station_boundary,1688.8517143021315,1.038015804733947,-6.6000000000000005,32.7,-5.4,33.300000000000004
GRDC__1993651,GRDC,-14.179,34.124,616.0,continent_pub_baseline,station_boundary,642.9686173459851,1.0437802229642614,33.9,-14.600000000000001,34.5,-14.0
GRDC__1931070,GRDC,11.47,-4.47,4580.0,continent_pub_baseline,station_boundary,4444.37861480525,0.9703883438439411,-5.5,10.600000000000001,-4.3,11.9
GRDC__1259320,GRDC,-29.483,28.657,3236.0,continent_pub_baseline,station_boundary,3216.0117648914334,0.9938231659120622,28.1,-29.8,29.0,-28.5
GRDC__1547600,GRDC,-11.497,31.283,1215.0,continent_pub_baseline,station_boundary,1145.6623746948576,0.9429319956336276,31.1,-11.700000000000001,31.8,-11.0
